trail	follow	V	hyp	4.31	7.18
mason	worker	N	hyp	4.50	7.5
radish	carrot	N	cohyp	0.09	0.15
veal	meat	N	hyp	5.86	9.77
keyboard	arm	N	no-rel	0.54	0.9
swing	push	V	cohyp	1.83	3.05
rhyme	dinner	N	no-rel	0.00	0.0
father	ancestor	N	hyp	3.90	6.5
truce	peace	N	hyp	4.80	8.0
glass	cabinet	N	no-rel	1.92	3.2
ear	head	N	mero	0.00	0.0
enemy	crocodile	N	no-rel	0.20	0.33
geology	study	N	hyp	5.38	8.97
duck	animal	N	hyp	5.92	9.87
typewriter	machine	N	hyp	5.30	8.83
limousine	migraine	N	no-rel	0.15	0.25
competence	ability	N	hyp	4.64	7.73
reason	cause	N	syn	3.46	5.77
chipmunk	squirrel	N	hyp	1.69	2.82
lodge	inn	N	syn	4.15	6.92
idol	person	N	hyp	2.57	4.28
butter	cream	N	cohyp	2.69	4.48
rise	fall	V	ant	0.31	0.52
deny	crush	V	no-rel	1.31	2.18
crane	bird	N	hyp	5.30	8.83
winter	season	N	hyp	5.83	9.72
nylon	cotton	N	cohyp	0.82	1.37
bat	club	N	hyp	3.60	6.0
dungeon	castle	N	mero	1.43	2.38
technique	knowledge	N	hyp	2.55	4.25
husband	spouse	N	hyp	5.73	9.55
spouse	mate	N	syn	4.67	7.78
disguise	hide	V	hyp	5.00	8.33
wall	barrier	N	hyp	5.36	8.93
miner	worker	N	hyp	5.46	9.1
soda	liquid	N	hyp	5.90	9.83
canoe	boat	N	hyp	6.00	10.0
talk	communicate	V	hyp	5.55	9.25
subtraction	mansion	N	no-rel	0.00	0.0
instinct	knowledge	N	hyp	2.86	4.77
snake	animal	N	hyp	5.25	8.75
chain	link	N	cohyp	4.00	6.67
keyboard	piano	N	mero	4.25	7.08
fig	food	N	hyp	5.00	8.33
wait	hesitate	V	r-hyp	3.60	6.0
gander	biology	N	no-rel	0.58	0.97
letter	symbol	N	hyp	5.33	8.88
attic	house	N	mero	0.86	1.43
note	message	N	hyp	5.40	9.0
noun	adjective	N	cohyp	0.50	0.83
thought	reflection	N	r-hyp	3.00	5.0
bar	pub	N	mero	4.92	8.2
ball	game	N	hyp	3.15	5.25
authority	power	N	hyp	5.46	9.1
auto	car	N	syn	1.90	3.17
finger	glove	N	mero	0.62	1.03
hall	passage	N	hyp	5.10	8.5
rummy	game	N	hyp	5.17	8.62
sickle	tool	N	hyp	4.69	7.82
depart	arrive	V	ant	1.08	1.8
winner	loser	N	ant	0.33	0.55
human	animal	N	hyp	5.27	8.78
robin	bird	N	hyp	6.00	10.0
clerk	worker	N	hyp	5.31	8.85
intelligence	knowledge	N	hyp	2.69	4.48
rubber	eraser	N	hyp	4.09	6.82
integrity	worker	N	no-rel	0.80	1.33
newspaper	officer	N	no-rel	0.15	0.25
innocence	grape	N	no-rel	0.18	0.3
soccer	sport	N	hyp	5.92	9.87
pumpkin	squash	N	hyp	3.45	5.75
washer	appliance	N	hyp	5.64	9.4
pork	meat	N	hyp	5.90	9.83
swan	trip	N	no-rel	0.08	0.13
dime	nickel	N	cohyp	0.43	0.72
chairperson	leader	N	hyp	4.83	8.05
summit	peak	N	syn	5.75	9.58
owl	bird	N	hyp	6.00	10.0
sunset	evening	N	mero	2.00	3.33
cotton	polyester	N	cohyp	1.31	2.18
repentance	guilt	N	cohyp	3.25	5.42
cent	dollar	N	mero	0.62	1.03
saxophone	treatment	N	no-rel	0.09	0.15
six	seven	N	cohyp	0.31	0.52
label	sign	N	hyp	4.40	7.33
enemy	friend	N	ant	0.93	1.55
encyclopedia	book	N	hyp	5.36	8.93
digger	worker	N	hyp	4.50	7.5
strap	bra	N	mero	0.93	1.55
period	puberty	N	r-hyp	2.90	4.83
liquid	substance	N	hyp	5.38	8.97
lettuce	food	N	hyp	5.83	9.72
class	group	N	hyp	4.08	6.8
instrument	piano	N	r-hyp	0.33	0.55
pause	run	V	no-rel	0.09	0.15
north	direction	N	hyp	5.29	8.82
suppose	think	V	hyp	5.42	9.03
jeep	vehicle	N	hyp	5.91	9.85
fix	attach	V	hyp	3.40	5.67
mammal	dog	N	r-hyp	1.30	2.17
rabbit	synagogue	N	no-rel	0.08	0.13
person	reader	N	r-hyp	2.00	3.33
integrate	mix	V	hyp	5.50	9.17
tornado	typhoon	N	cohyp	2.85	4.75
van	vehicle	N	hyp	5.85	9.75
gang	group	N	hyp	5.55	9.25
vegetable	spinach	N	r-hyp	0.33	0.55
science	geology	N	r-hyp	0.33	0.55
iron	steel	N	mero	3.33	5.55
lecture	class	N	mero	5.08	8.47
ending	end	N	syn	3.30	5.5
pavement	surface	N	hyp	5.15	8.58
legion	group	N	hyp	4.60	7.67
alto	voice	N	hyp	4.90	8.17
grass	marrow	N	no-rel	0.38	0.63
spade	card	N	hyp	4.33	7.22
hawk	eagle	N	cohyp	1.00	1.67
column	paper	N	mero	0.77	1.28
egg	milk	N	cohyp	0.18	0.3
gravy	sauce	N	hyp	5.73	9.55
cavity	rat	N	no-rel	0.31	0.52
hustle	move	V	hyp	4.60	7.67
designer	creator	N	hyp	5.40	9.0
