mascara	lipstick	N	cohyp	0.71	1.18
nylon	cotton	N	cohyp	0.82	1.37
monkey	humor	N	no-rel	0.5	0.83
breast	turkey	N	mero	1.08	1.8
soil	earth	N	hyp	4.1	6.83
galosh	rubber	N	syn	1.92	3.2
highway	road	N	hyp	5.8	9.67
veal	meat	N	hyp	5.86	9.77
ceremony	blade	N	no-rel	0.55	0.92
victor	winner	N	syn	3.69	6.15
nose	face	N	cohyp	1	1.67
math	domain	N	hyp	1	1.67
casket	box	N	hyp	5	8.33
letter	alphabet	N	mero	2.45	4.08
oat	cereal	N	hyp	5.09	8.48
jewelry	ring	N	r-hyp	1.67	2.78
tortoise	animal	N	hyp	5.92	9.87
volleyball	game	N	hyp	5.83	9.72
shape	triangle	N	r-hyp	0.77	1.28
timber	lumber	N	syn	3.83	6.38
goo	muck	N	syn	3.42	5.7
gossip	rumor	N	hyp	3	5
body	corpse	N	r-hyp	2.25	3.75
eye	face	N	mero	1.2	2
lecture	speech	N	hyp	5.18	8.63
guitar	instrument	N	hyp	5.92	9.87
horn	goat	N	mero	0.6	1
creek	water	N	hyp	2.83	4.72
ledge	shelf	N	syn	4.3	7.17
mission	duty	N	hyp	4.44	7.4
calculus	trigonometry	N	cohyp	0.77	1.28
vehicle	motorcycle	N	r-hyp	1.09	1.82
melody	tune	N	syn	5.42	9.03
head	body	N	mero	1.69	2.82
shell	turtle	N	mero	0.9	1.5
stud	bull	N	cohyp	3.36	5.6
point	pencil	N	mero	0.58	0.97
car	vehicle	N	hyp	6	10
chicken	food	N	hyp	5.31	8.85
tissue	organ	N	cohyp	2.77	4.62
fabric	cotton	N	r-hyp	1.36	2.27
keyboard	piano	N	mero	4.25	7.08
human	encyclopedia	N	no-rel	0.9	1.5
joke	humor	N	hyp	4.17	6.95
control	experiment	N	mero	2.62	4.37
pike	spike	N	cohyp	3.42	5.7
repentance	guilt	N	cohyp	3.25	5.42
blade	knife	N	mero	3.31	5.52
television	medium	N	hyp	5.29	8.82
defense	offense	N	ant	2.15	3.58
christian	church	N	mero	2.5	4.17
leak	hole	N	hyp	1.5	2.5
wound	injury	N	hyp	5.46	9.1
police	authority	N	hyp	5	8.33
car	limousine	N	r-hyp	1.17	1.95
home	location	N	hyp	5.4	9
drawing	sketch	N	r-hyp	3.7	6.17
recreation	sport	N	r-hyp	2.46	4.1
freckle	spot	N	hyp	4.83	8.05
pork	pig	N	mero	2	3.33
letter	writing	N	hyp	2.36	3.93
atom	mythology	N	no-rel	0.21	0.35
cat	appearance	N	no-rel	0.6	1
rectangle	shape	N	hyp	5.85	9.75
mark	sign	N	syn	3.23	5.38
feature	face	N	mero	1.18	1.97
letter	character	N	hyp	4.54	7.57
flesh	human	N	mero	1	1.67
mom	parent	N	hyp	5.83	9.72
flour	dough	N	mero	0.18	0.3
neck	stream	N	no-rel	0.18	0.3
fork	fashion	N	no-rel	0.25	0.42
dagger	knife	N	hyp	5.78	9.63
field	stadium	N	mero	2.9	4.83
fireplace	chimney	N	mero	1.64	2.73
sight	vision	N	syn	4.33	7.22
hamburger	bird	N	no-rel	0.09	0.15
geyser	fountain	N	hyp	4.6	7.67
reaction	effect	N	hyp	4.77	7.95
lobby	building	N	mero	1.15	1.92
olive	pickle	N	cohyp	1	1.67
concert	performance	N	hyp	5.69	9.48
flower	plant	N	hyp	5.67	9.45
scoop	shovel	N	hyp	4.18	6.97
lunch	supper	N	cohyp	0.45	0.75
death	birth	N	ant	0.46	0.77
homework	work	N	hyp	4.92	8.2
chain	lock	N	cohyp	1.31	2.18
opinion	thought	N	hyp	4.57	7.62
sofa	chair	N	cohyp	3.38	5.63
toenail	toe	N	mero	0.77	1.28
disease	cancer	N	r-hyp	0.85	1.42
mason	worker	N	hyp	4.5	7.5
broth	soup	N	hyp	4.7	7.83
creator	artist	N	r-hyp	2.79	4.65
pastry	dough	N	hyp	3	5
sentence	judgment	N	hyp	4.33	7.22
cavern	cave	N	hyp	5.08	8.47
barley	herb	N	hyp	1.3	2.17
guide	book	N	hyp	4.64	7.73
contact	lens	N	hyp	3.92	6.53
vehicle	utensil	N	no-rel	0.57	0.95
waterfall	tennis	N	no-rel	0.42	0.7
baseball	sport	N	hyp	5.85	9.75
sample	example	N	hyp	3.86	6.43
explorer	navigator	N	r-hyp	4.58	7.63
mitten	glove	N	hyp	4.08	6.8
suitcase	bag	N	syn	5.67	9.45
trout	fish	N	hyp	6	10
innocence	grape	N	no-rel	0.18	0.3
club	group	N	hyp	4.92	8.2
quill	fleet	N	no-rel	0.38	0.63
portion	percentage	N	syn	4.5	7.5
water	liquid	N	hyp	5.85	9.75
building	construction	N	syn	5.58	9.3
mattress	addition	N	no-rel	0.1	0.17
puberty	period	N	hyp	3.3	5.5
courage	bravery	N	syn	4.31	7.18
meter	unit	N	hyp	4.9	8.17
pecan	nut	N	hyp	5.93	9.88
wrestling	sport	N	hyp	5.31	8.85
appliance	oven	N	r-hyp	0.8	1.33
virtue	landscape	N	no-rel	0.08	0.13
funeral	ceremony	N	hyp	5.6	9.33
medicine	tablet	N	r-hyp	1.08	1.8
mouse	rat	N	cohyp	1.33	2.22
damage	harm	N	syn	4.38	7.3
ritual	event	N	hyp	4.64	7.73
width	height	N	cohyp	1.14	1.9
mosquito	insect	N	hyp	5.36	8.93
hen	chicken	N	hyp	5.67	9.45
silence	sound	N	ant	2.9	4.83
handbag	bowl	N	no-rel	0	0
server	waiter	N	syn	4.77	7.95
helium	gas	N	hyp	6	10
globe	sphere	N	hyp	5.08	8.47
mud	religion	N	no-rel	0.08	0.13
step	stairway	N	mero	3.57	5.95
maid	servant	N	hyp	5.29	8.82
stone	rock	N	syn	4.46	7.43
groom	wedding	N	mero	1.27	2.12
murderer	killer	N	hyp	5.9	9.83
maker	producer	N	r-hyp	3.15	5.25
dog	animal	N	hyp	5.77	9.62
hour	life	N	cohyp	1.91	3.18
bread	sandwich	N	mero	1.31	2.18
keg	container	N	hyp	5.8	9.67
cookie	food	N	hyp	5.93	9.88
sculpture	art	N	hyp	5.62	9.37
lesson	instruction	N	hyp	5.5	9.17
cement	stone	N	cohyp	3.82	6.37
assignment	homework	N	r-hyp	5	8.33
crab	seafood	N	hyp	6	10
professional	professor	N	r-hyp	2.18	3.63
headache	pain	N	hyp	5.92	9.87
hazard	risk	N	syn	3.83	6.38
incense	odor	N	hyp	4.4	7.33
movement	activity	N	hyp	4.69	7.82
understanding	knowledge	N	hyp	4.36	7.27
scene	movie	N	mero	2	3.33
incense	aroma	N	hyp	4.73	7.88
surgery	vacation	N	no-rel	0.55	0.92
politics	government	N	syn	2.11	3.52
thought	reflection	N	r-hyp	3	5
dungeon	cell	N	hyp	3.92	6.53
chain	bandage	N	no-rel	0.43	0.72
philosophy	study	N	hyp	4.83	8.05
appliance	washer	N	r-hyp	0.69	1.15
appliance	refrigerator	N	r-hyp	1.5	2.5
movement	motion	N	syn	4.92	8.2
force	power	N	hyp	3.18	5.3
mole	animal	N	hyp	5.8	9.67
jewel	ring	N	cohyp	2.42	4.03
slime	goo	N	syn	4.2	7
satan	devil	N	syn	5.38	8.97
craft	knitting	N	r-hyp	1.82	3.03
ecstasy	feeling	N	hyp	5.4	9
plaque	memorial	N	hyp	4.33	7.22
payment	rent	N	r-hyp	2.42	4.03
thesis	statement	N	hyp	3.7	6.17
jigsaw	tool	N	hyp	4.67	7.78
destiny	fate	N	syn	4.29	7.15
eagle	bird	N	hyp	5.9	9.83
chisel	tool	N	hyp	5.85	9.75
hundred	amount	N	hyp	4.8	8
plum	tree	N	hyp	3.75	6.25
poet	person	N	hyp	4.67	7.78
silk	cotton	N	cohyp	1.3	2.17
assignment	task	N	hyp	5.6	9.33
supper	dinosaur	N	no-rel	0.14	0.23
class	group	N	hyp	4.08	6.8
diamond	gem	N	hyp	5.67	9.45
wall	barrier	N	hyp	5.36	8.93
mug	cup	N	cohyp	5.58	9.3
vacation	holiday	N	syn	5.1	8.5
caffeine	problem	N	no-rel	2.08	3.47
heel	foot	N	mero	1.31	2.18
rabbit	food	N	hyp	3.5	5.83
rear	front	N	ant	0.58	0.97
golf	game	N	hyp	5	8.33
dime	penny	N	cohyp	1.54	2.57
effect	reaction	N	r-hyp	2.08	3.47
quail	animal	N	hyp	5.46	9.1
shutter	camera	N	mero	0.2	0.33
almanac	book	N	hyp	5.54	9.23
duty	service	N	cohyp	2.69	4.48
galaxy	universe	N	mero	2.23	3.72
statue	art	N	hyp	5.69	9.48
starboard	port	N	ant	1.92	3.2
drawer	bureau	N	mero	1.31	2.18
purse	waiter	N	no-rel	0.23	0.38
drawer	dresser	N	mero	2.08	3.47
hostage	captive	N	hyp	5.58	9.3
scene	picture	N	syn	3.6	6
credit	blackberry	N	no-rel	0.09	0.15
group	gang	N	r-hyp	3.4	5.67
wife	ring	N	no-rel	0.1	0.17
lease	contract	N	hyp	4.92	8.2
puppy	animal	N	hyp	5.3	8.83
elk	deer	N	hyp	3.54	5.9
science	geology	N	r-hyp	0.33	0.55
stud	horse	N	hyp	3.46	5.77
veal	food	N	hyp	5.38	8.97
shape	sphere	N	r-hyp	1.54	2.57
milk	butter	N	cohyp	1.31	2.18
phone	device	N	hyp	5.54	9.23
caption	heading	N	hyp	3	5
barrel	gun	N	mero	1.46	2.43
knuckle	finger	N	mero	1.69	2.82
agency	group	N	hyp	3.69	6.15
land	domain	N	hyp	3.54	5.9
athlete	jock	N	syn	4.22	7.03
banana	fruit	N	hyp	5.83	9.72
hinge	gate	N	mero	1.79	2.98
restroom	communication	N	no-rel	0.14	0.23
reptile	alligator	N	r-hyp	0.2	0.33
way	direction	N	syn	4	6.67
elephant	animal	N	hyp	5.9	9.83
cabbage	vegetable	N	hyp	5.91	9.85
message	note	N	r-hyp	3.64	6.07
cotton	fabric	N	hyp	5.64	9.4
crook	burglar	N	r-hyp	2.5	4.17
leather	suede	N	r-hyp	2.17	3.62
caravan	vehicle	N	hyp	5	8.33
staff	school	N	mero	0.45	0.75
wasp	bee	N	cohyp	2.21	3.68
store	shop	N	syn	4	6.67
kiwi	fruit	N	hyp	6	10
rum	alcohol	N	hyp	5.62	9.37
tongue	mouth	N	mero	0.45	0.75
tutu	skirt	N	hyp	4.2	7
horse	team	N	no-rel	0.36	0.6
architecture	water	N	no-rel	0	0
hint	suggestion	N	hyp	5.25	8.75
